block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,condition,trial_type
6,45,theblick_drinks_norm_themilk,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,46,theblick_kicks_norm_theapple,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,47,theblick_eats_norm_theapple,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,48,theblick_eats_norm_thecookie,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,49,theblick_spills_norm_thejuice,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,50,theblick_kicks_norm_theball,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,51,theblick_spills_norm_themilk,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,52,theblick_drinks_norm_thejuice,clouds_left,clouds_right,AG,,,,,,black-background,agent,fam
6,53,norm_findtheblick,,,,underarmthrow_s_5020.mp4,underarmthrow_u_5020.mp4,left,0,both,black-background,agent,test
7,54,thebaby_drinks_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,55,theboy_eats_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,56,thedoctor_drinks_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,57,thedoctor_kicks_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,58,theboy_spills_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,59,thegirl_eats_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,60,thebaby_kicks_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,61,thegirl_spills_norm_thecheem,fireworks_left,fireworks_right,AG,,,,,,black-background,patient,fam
7,62,norm_findthecheem,,,,jumpingjacks_s_5020.mp4,jumpingjacks_u_5020.mp4,right,1,both,black-background,patient,test
8,63,theboy_kicks_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,64,thebaby_spills_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,65,thedoctor_eats_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,66,thegirl_drinks_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,67,thegirl_kicks_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,68,thedoctor_spills_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,69,theboy_drinks_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,70,thebaby_eats_norm_thetoma,beach_left,beach_right,AG,,,,,,black-background,patient,fam
8,71,norm_wherethetoma,,,,jumpingjacks_u_5020.mp4,jumpingjacks_s_5020.mp4,left,0,both,black-background,patient,test
9,72,thewug_spills_norm_themilk,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,73,thewug_eats_norm_thecookie,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,74,thewug_drinks_norm_themilk,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,75,thewug_kicks_norm_theball,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,76,thewug_drinks_norm_thejuice,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,77,thewug_spills_norm_thejuice,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,78,thewug_kicks_norm_theapple,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,79,thewug_eats_norm_theapple,balloons_left,balloons_right,AG,,,,,,black-background,agent,fam
9,80,norm_findthewug,,,,underarmthrow_u_5020.mp4,underarmthrow_s_5020.mp4,right,1,both,black-background,agent,test
